,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
46741,2007,Box Score,Atlanta Hawks,87,Seattle SuperSonics,102,0
46742,2007,Box Score,Memphis Grizzlies,98,Boston Celtics,96,0
46743,2007,Box Score,San Antonio Spurs,96,Charlotte Bobcats,76,0
46744,2007,Box Score,Philadelphia 76ers,94,Chicago Bulls,121,0
46745,2007,Box Score,Toronto Raptors,91,Cleveland Cavaliers,95,0
46746,2007,Box Score,Atlanta Hawks,98,Denver Nuggets,96,0
46747,2007,Box Score,Orlando Magic,80,Indiana Pacers,94,0
46748,2007,Box Score,New Orleans/Oklahoma City Hornets,105,Los Angeles Lakers,89,0
46749,2007,Box Score,Portland Trail Blazers,94,Milwaukee Bucks,102,0
46750,2007,Box Score,Houston Rockets,84,Minnesota Timberwolves,90,0
46751,2007,Box Score,Washington Wizards,113,New York Knicks,102,0
46752,2007,Box Score,Detroit Pistons,92,Dallas Mavericks,82,0
46753,2007,Box Score,Phoenix Suns,161,New Jersey Nets,157,0
46754,2007,Box Score,Miami Heat,93,Sacramento Kings,91,0
46755,2007,Box Score,Phoenix Suns,116,Boston Celtics,111,0
46756,2007,Box Score,Houston Rockets,92,Charlotte Bobcats,62,0
46757,2007,Box Score,Toronto Raptors,90,Chicago Bulls,93,0
46758,2007,Box Score,Miami Heat,107,Denver Nuggets,123,0
46759,2007,Box Score,Portland Trail Blazers,95,Indiana Pacers,108,0
46760,2007,Box Score,Atlanta Hawks,95,Los Angeles Lakers,106,0
46761,2007,Box Score,Memphis Grizzlies,94,Milwaukee Bucks,100,0
46762,2007,Box Score,Utah Jazz,103,Minnesota Timberwolves,110,0
46763,2007,Box Score,Detroit Pistons,87,Orlando Magic,83,0
46764,2007,Box Score,Washington Wizards,113,Philadelphia 76ers,98,0
46765,2007,Box Score,Los Angeles Clippers,82,San Antonio Spurs,111,0
46766,2007,Box Score,New Orleans/Oklahoma City Hornets,74,Seattle SuperSonics,94,0
46767,2007,Box Score,Minnesota Timberwolves,91,Chicago Bulls,81,0
46768,2007,Box Score,Indiana Pacers,75,Cleveland Cavaliers,107,0
46769,2007,Box Score,Denver Nuggets,90,Dallas Mavericks,105,0
46770,2007,Box Score,New Orleans/Oklahoma City Hornets,80,Golden State Warriors,101,0
46771,2007,Box Score,Los Angeles Clippers,89,Memphis Grizzlies,82,0
46772,2007,Box Score,Boston Celtics,92,New Jersey Nets,90,0
46773,2007,Box Score,Milwaukee Bucks,107,New York Knicks,115,0
46774,2007,Box Score,Philadelphia 76ers,84,Orlando Magic,86,0
46775,2007,Box Score,Houston Rockets,114,Washington Wizards,109,0
46776,2007,Box Score,Phoenix Suns,114,Charlotte Bobcats,84,0
46777,2007,Box Score,San Antonio Spurs,99,Los Angeles Lakers,106,0
46778,2007,Box Score,Atlanta Hawks,92,Sacramento Kings,117,0
46779,2007,Box Score,Golden State Warriors,115,Seattle SuperSonics,117,0
46780,2007,Box Score,Portland Trail Blazers,93,Toronto Raptors,83,0
46781,2007,Box Score,Indiana Pacers,91,Chicago Bulls,106,0
46782,2007,Box Score,San Antonio Spurs,103,Los Angeles Clippers,81,0
46783,2007,Box Score,Toronto Raptors,77,Miami Heat,99,0
46784,2007,Box Score,Memphis Grizzlies,92,New Jersey Nets,105,0
46785,2007,Box Score,Cleveland Cavaliers,89,New Orleans/Oklahoma City Hornets,95,0
46786,2007,Box Score,Boston Celtics,97,New York Knicks,90,0
46787,2007,Box Score,Phoenix Suns,103,Orlando Magic,89,0
46788,2007,Box Score,Portland Trail Blazers,81,Philadelphia 76ers,79,0
46789,2007,Box Score,Dallas Mavericks,79,Utah Jazz,101,0
46790,2007,Box Score,Denver Nuggets,100,Atlanta Hawks,87,0
46791,2007,Box Score,Sacramento Kings,113,Golden State Warriors,126,0
46792,2007,Box Score,Los Angeles Lakers,102,Houston Rockets,94,0
46793,2007,Box Score,Seattle SuperSonics,93,Milwaukee Bucks,94,0
46794,2007,Box Score,Seattle SuperSonics,84,Chicago Bulls,99,0
46795,2007,Box Score,Charlotte Bobcats,101,Cleveland Cavaliers,104,0
46796,2007,Box Score,Los Angeles Lakers,101,Dallas Mavericks,110,0
46797,2007,Box Score,Detroit Pistons,90,Indiana Pacers,101,0
46798,2007,Box Score,Utah Jazz,105,Los Angeles Clippers,86,0
46799,2007,Box Score,Portland Trail Blazers,85,Memphis Grizzlies,79,0
46800,2007,Box Score,Phoenix Suns,99,Miami Heat,89,0
46801,2007,Box Score,Milwaukee Bucks,95,New Jersey Nets,108,0
46802,2007,Box Score,Atlanta Hawks,82,New York Knicks,94,0
46803,2007,Box Score,Toronto Raptors,91,Orlando Magic,84,0
46804,2007,Box Score,Boston Celtics,101,Philadelphia 76ers,81,0
46805,2007,Box Score,Minnesota Timberwolves,82,San Antonio Spurs,95,0
46806,2007,Box Score,Denver Nuggets,91,Washington Wizards,120,0
46807,2007,Box Score,Orlando Magic,89,Charlotte Bobcats,99,0
46808,2007,Box Score,Houston Rockets,107,Golden State Warriors,109,0
46809,2007,Box Score,San Antonio Spurs,103,New Orleans/Oklahoma City Hornets,77,0
46810,2007,Box Score,Denver Nuggets,114,Boston Celtics,119,0
46811,2007,Box Score,Milwaukee Bucks,111,Chicago Bulls,117,0
46812,2007,Box Score,Seattle SuperSonics,84,Cleveland Cavaliers,106,0
46813,2007,Box Score,Philadelphia 76ers,79,Dallas Mavericks,93,0
46814,2007,Box Score,New York Knicks,96,Indiana Pacers,112,0
46815,2007,Box Score,Houston Rockets,101,Los Angeles Lakers,112,0
46816,2007,Box Score,Atlanta Hawks,97,Memphis Grizzlies,88,0
46817,2007,Box Score,Golden State Warriors,101,Phoenix Suns,105,0
46818,2007,Box Score,Los Angeles Clippers,99,Portland Trail Blazers,109,0
46819,2007,Box Score,New Jersey Nets,78,Toronto Raptors,90,0
46820,2007,Box Score,Sacramento Kings,98,Utah Jazz,97,0
46821,2007,Box Score,Miami Heat,95,Washington Wizards,106,0
46822,2007,Box Score,Chicago Bulls,106,Atlanta Hawks,104,0
46823,2007,Box Score,Boston Celtics,106,Charlotte Bobcats,100,0
46824,2007,Box Score,Memphis Grizzlies,90,Miami Heat,98,0
46825,2007,Box Score,Minnesota Timberwolves,104,Milwaukee Bucks,108,0
46826,2007,Box Score,Detroit Pistons,90,New Jersey Nets,82,0
46827,2007,Box Score,Dallas Mavericks,90,New Orleans/Oklahoma City Hornets,79,0
46828,2007,Box Score,Denver Nuggets,123,New York Knicks,100,0
46829,2007,Box Score,Cleveland Cavaliers,74,Orlando Magic,81,0
46830,2007,Box Score,Phoenix Suns,105,Sacramento Kings,98,0
46831,2007,Box Score,Philadelphia 76ers,98,San Antonio Spurs,103,0
46832,2007,Box Score,Seattle SuperSonics,93,Detroit Pistons,97,0
46833,2007,Box Score,Utah Jazz,104,Indiana Pacers,94,0
46834,2007,Box Score,Houston Rockets,108,Los Angeles Clippers,103,0
46835,2007,Box Score,Washington Wizards,147,Los Angeles Lakers,141,0
46836,2007,Box Score,Golden State Warriors,115,Toronto Raptors,120,0
